"","BEGIN_YEARMONTH","BEGIN_DAY","BEGIN_TIME","END_YEARMONTH","END_DAY","END_TIME","EPISODE_ID","EVENT_ID","STATE","STATE_FIPS","YEAR","MONTH_NAME","EVENT_TYPE","CZ_TYPE","CZ_FIPS","CZ_NAME","WFO","BEGIN_DATE_TIME","CZ_TIMEZONE","END_DATE_TIME","INJURIES_DIRECT","INJURIES_INDIRECT","DEATHS_DIRECT","DEATHS_INDIRECT","DAMAGE_PROPERTY","DAMAGE_CROPS","SOURCE","MAGNITUDE","MAGNITUDE_TYPE","FLOOD_CAUSE","CATEGORY","TOR_F_SCALE","TOR_LENGTH","TOR_WIDTH","TOR_OTHER_WFO","TOR_OTHER_CZ_STATE","TOR_OTHER_CZ_FIPS","TOR_OTHER_CZ_NAME","BEGIN_RANGE","BEGIN_AZIMUTH","BEGIN_LOCATION","END_RANGE","END_AZIMUTH","END_LOCATION","BEGIN_LAT","BEGIN_LON","END_LAT","END_LON","EPISODE_NARRATIVE","EVENT_NARRATIVE","DATA_SOURCE"
"1",195405,1,1745,195405,1,1745,NA,10098659,"OKLAHOMA",40,1954,"May      ","Tornado","C",137,"STEPHENS",NA,"01-MAY-54 17:45:00","CST","01-MAY-54 17:45:00",0,0,0,0,"25K",0,NA,0,NA,NA,NA,"F3",6.2,100,NA,NA,NA,NA,0,NA,NA,0,NA,NA,34.62,-98,34.68,-97.93,NA,NA,"PUB"
"2",195403,24,2200,195403,24,2200,NA,10099832,"OKLAHOMA",40,1954,"March    ","Tornado","C",41,"DELAWARE",NA,"24-MAR-54 22:00:00","CST","24-MAR-54 22:00:00",0,0,0,0,"25K",0,NA,0,NA,NA,NA,"F1",23.9,33,NA,NA,NA,NA,0,NA,NA,0,NA,NA,36.2,-94.97,36.5,-94.75,NA,NA,"PUB"
"3",195404,27,1830,195404,27,1830,NA,10098430,"OKLAHOMA",40,1954,"April    ","Tornado","C",55,"GREER",NA,"27-APR-54 18:30:00","CST","27-APR-54 18:30:00",0,0,0,0,"2.5K",0,NA,0,NA,NA,NA,"F0",0,33,NA,NA,NA,NA,0,NA,NA,0,NA,NA,35.03,-99.42,NA,NA,NA,NA,"PUB"
"4",195404,17,100,195404,17,100,NA,10110310,"PENNSYLVANIA",42,1954,"April    ","Tornado","C",11,"BERKS",NA,"17-APR-54 01:00:00","CST","17-APR-54 01:00:00",0,0,0,0,".03K",0,NA,0,NA,NA,NA,"F1",2,3,NA,NA,NA,NA,0,NA,NA,0,NA,NA,40.35,-75.92,NA,NA,NA,NA,"PUB"
"5",195401,20,530,195401,20,530,NA,10047318,"MISSISSIPPI",28,1954,"January  ","Tornado","C",105,"OKTIBBEHA",NA,"20-JAN-54 05:30:00","CST","20-JAN-54 05:30:00",2,0,0,0,"25K",0,NA,0,NA,NA,NA,"F2",11.9,27,NA,NA,NA,NA,0,NA,NA,0,NA,NA,33.3,-88.83,33.42,-88.68,NA,NA,"PUB"
"6",195401,20,545,195401,20,545,NA,10047319,"MISSISSIPPI",28,1954,"January  ","Tornado","C",87,"LOWNDES",NA,"20-JAN-54 05:45:00","CST","20-JAN-54 05:45:00",0,0,0,0,"2.5K",0,NA,0,NA,NA,NA,"F1",5.6,100,NA,NA,NA,NA,0,NA,NA,0,NA,NA,33.38,-88.42,33.45,-88.37,NA,NA,"PUB"
"7",195401,20,550,195401,20,550,NA,10047320,"MISSISSIPPI",28,1954,"January  ","Tornado","C",87,"LOWNDES",NA,"20-JAN-54 05:50:00","CST","20-JAN-54 05:50:00",0,0,0,0,"25K",0,NA,0,NA,NA,NA,"F2",5.4,27,NA,NA,NA,NA,0,NA,NA,0,NA,NA,33.42,-88.68,33.47,-88.62,NA,NA,"PUB"
"8",195404,30,955,195404,30,955,NA,10122923,"TEXAS",48,1954,"April    ","Tornado","C",347,"NACOGDOCHES",NA,"30-APR-54 09:55:00","CST","30-APR-54 09:55:00",0,0,0,0,"250K",0,NA,0,NA,NA,NA,"F2",25.1,883,NA,NA,NA,NA,0,NA,NA,0,NA,NA,31.37,-94.47,31.55,-94.1,NA,NA,"PUB"
"9",195404,30,1000,195404,30,1000,NA,10122924,"TEXAS",48,1954,"April    ","Tornado","C",343,"MORRIS",NA,"30-APR-54 10:00:00","CST","30-APR-54 10:00:00",0,0,0,0,"25K",0,NA,0,NA,NA,NA,"F3",3.3,50,NA,NA,NA,NA,0,NA,NA,0,NA,NA,32.92,-94.72,32.93,-94.67,NA,NA,"PUB"
"10",195404,30,1005,195404,30,1005,NA,10122925,"TEXAS",48,1954,"April    ","Tornado","C",67,"CASS",NA,"30-APR-54 10:05:00","CST","30-APR-54 10:05:00",1,0,0,0,"25K",0,NA,0,NA,NA,NA,"F3",39.2,50,NA,NA,NA,NA,0,NA,NA,0,NA,NA,32.93,-94.67,33.17,-94.05,NA,NA,"PUB"
"11",195404,30,1030,195404,30,1030,NA,10122926,"TEXAS",48,1954,"April    ","Tornado","C",37,"BOWIE",NA,"30-APR-54 10:30:00","CST","30-APR-54 10:30:00",0,0,0,0,"25K",0,NA,0,NA,NA,NA,"F3",19.2,440,NA,NA,NA,NA,0,NA,NA,0,NA,NA,33.4,-94.63,33.58,-94.38,NA,NA,"PUB"
"12",195405,1,1415,195405,1,1415,NA,10122927,"TEXAS",48,1954,"May      ","Tornado","C",155,"FOARD",NA,"01-MAY-54 14:15:00","CST","01-MAY-54 14:15:00",0,0,0,0,"25K",0,NA,0,NA,NA,NA,"F4",15.4,267,NA,NA,NA,NA,0,NA,NA,0,NA,NA,33.98,-99.72,34.07,-99.47,NA,NA,"PUB"
"13",195405,1,1415,195405,1,1415,NA,10122928,"TEXAS",48,1954,"May      ","Tornado","C",487,"WILBARGER",NA,"01-MAY-54 14:15:00","CST","01-MAY-54 14:15:00",2,0,0,0,"250K",0,NA,0,NA,NA,NA,"F4",18.6,267,NA,NA,NA,NA,0,NA,NA,0,NA,NA,34.07,-99.47,34.2,-99.18,NA,NA,"PUB"
"14",195405,1,1900,195405,1,1900,NA,10122929,"TEXAS",48,1954,"May      ","Tornado","C",237,"JACK",NA,"01-MAY-54 19:00:00","CST","01-MAY-54 19:00:00",4,0,0,0,"0K",0,NA,0,NA,NA,NA,"F1",1,30,NA,NA,NA,NA,0,NA,NA,0,NA,NA,33.43,-98.38,NA,NA,NA,NA,"PUB"
"15",195405,1,2100,195405,1,2100,NA,10122930,"TEXAS",48,1954,"May      ","Tornado","C",147,"FANNIN",NA,"01-MAY-54 21:00:00","CST","01-MAY-54 21:00:00",0,0,0,0,"0K",0,NA,0,NA,NA,NA,"F1",1,33,NA,NA,NA,NA,0,NA,NA,0,NA,NA,33.6,-96.18,NA,NA,NA,NA,"PUB"
"16",195405,1,2115,195405,1,2115,NA,10122931,"TEXAS",48,1954,"May      ","Tornado","C",77,"CLAY",NA,"01-MAY-54 21:15:00","CST","01-MAY-54 21:15:00",0,0,0,0,"0K",0,NA,0,NA,NA,NA,"F2",1.3,67,NA,NA,NA,NA,0,NA,NA,0,NA,NA,33.55,-98.15,33.57,-98.13,NA,NA,"PUB"
"17",195405,2,100,195405,2,100,NA,10122932,"TEXAS",48,1954,"May      ","Tornado","C",93,"COMANCHE",NA,"02-MAY-54 01:00:00","CST","02-MAY-54 01:00:00",0,0,0,0,"0K",0,NA,0,NA,NA,NA,"F1",0,33,NA,NA,NA,NA,0,NA,NA,0,NA,NA,32.12,-98.55,NA,NA,NA,NA,"PUB"
"18",195405,2,650,195405,2,650,NA,10122933,"TEXAS",48,1954,"May      ","Tornado","C",183,"GREGG",NA,"02-MAY-54 06:50:00","CST","02-MAY-54 06:50:00",0,0,0,0,"0K",0,NA,0,NA,NA,NA,"F2",0,20,NA,NA,NA,NA,0,NA,NA,0,NA,NA,32.53,-94.95,32.53,-94.95,NA,NA,"PUB"
"19",195405,2,1500,195405,2,1500,NA,10122934,"TEXAS",48,1954,"May      ","Tornado","C",213,"HENDERSON",NA,"02-MAY-54 15:00:00","CST","02-MAY-54 15:00:00",4,0,0,0,"0K",0,NA,0,NA,NA,NA,"F3",0,33,NA,NA,NA,NA,0,NA,NA,0,NA,NA,32.22,-95.67,NA,NA,NA,NA,"PUB"
